id,sex,marital_status,age,education,income,occupation,settlement_size
100000001,0,0,4.204692619390966,2,11.73342552533902,1,2
100000002,1,1,3.091042453358316,1,11.92353067343267,1,2
100000003,0,0,3.8918202981106265,1,11.398748419907829,0,0
100000004,0,0,3.8066624897703196,1,12.052717482528815,1,1
100000005,0,0,3.970291913552122,1,11.911909616978704,1,1
100000006,0,0,3.5553480614894135,1,11.883440195715222,0,0
100000007,0,0,3.970291913552122,1,11.960779339570179,1,1
100000008,0,0,3.5553480614894135,1,12.173657919016433,2,1
100000009,0,1,4.110873864173311,2,11.928941383673516,0,0
100000010,0,1,3.332204510175204,1,12.070516347023947,2,0
100000011,1,1,3.2188758248682006,1,11.594219696852834,1,0
100000012,1,1,3.1780538303479458,1,11.756624301439086,1,0
100000013,1,1,3.091042453358316,1,11.59622747074103,1,2
100000014,0,0,4.0943445622221,2,11.400585091122524,0,0
100000015,1,1,3.332204510175204,1,11.541503203601936,1,1
100000016,1,1,3.4657359027997265,1,11.389943940555,0,0
100000017,0,0,3.970291913552122,1,11.740459364585732,1,0
100000018,0,0,3.2188758248682006,0,11.966761601803787,1,2
100000019,1,1,3.784189633918261,2,12.475916559852076,2,2
100000020,0,0,3.4339872044851463,0,11.882120701905361,1,1
100000021,0,0,3.871201010907891,1,11.685003064473658,1,1
100000022,0,0,3.784189633918261,1,11.901658028252527,1,1
100000023,0,0,3.871201010907891,1,11.405384796728105,0,0
100000024,0,0,3.784189633918261,1,11.812422465466547,1,2
100000025,0,1,3.258096538021482,1,11.548939117922176,1,2
100000026,0,0,3.58351893845611,1,11.183156709728118,0,0
100000027,0,1,3.6635616461296463,1,11.13113782021642,0,0
100000028,1,1,3.7376696182833684,2,12.001658842261403,1,1
100000029,0,0,3.5263605246161616,1,11.689455281972373,1,1
100000030,0,0,4.143134726391533,2,12.077568594619677,1,0
100000031,0,1,3.58351893845611,1,11.98071414302166,1,1
100000032,0,0,3.295836866004329,0,11.696338092996099,1,1
100000033,0,0,3.4011973816621555,0,11.999939837632681,1,2
100000034,0,0,4.04305126783455,2,11.380593352921188,0,0
100000035,1,1,3.4965075614664802,1,11.954844642085963,2,1
